show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,year_added
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",Unknown,2021-09-17,2016,TV-G,116 min,"Concert Film, Music",Experience the magic of Disney on Broadway in an unforgettable night of music.,116,min,2021
s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,Unknown,2021-09-17,2021,TV-PG,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,44,min,2021
s104,Movie,Jade Eyed Leopard,Unknown,Jeremy Irons,Unknown,2021-09-17,2020,TV-PG,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",44,min,2021
s105,Movie,Nona,Louis Gonzales,Unknown,Unknown,2021-09-17,2021,G,9 min,"Animation, Comedy, Family",A grandmother's plan for a day alone is upended by an unexpected visit from her granddaughter.,9,min,2021
s106,Movie,Smoky Mountain Park Rangers,Unknown,Peter Jessop,Unknown,2021-09-17,2021,TV-PG,42 min,"Animals & Nature, Documentary",Park Rangers protect the wildlife in Great Smoky Mountain National Park.,42,min,2021
s107,TV Show,Life Below Zero,Unknown,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",United States,2021-09-15,2012,TV-14,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries","Experience life deep in Alaska where the primal way lives on – brave the wild, fight the freeze.",16,Seasons,2021
s108,TV Show,Miraculous: Tales Of Ladybug & Cat Noir,Unknown,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen","France, South Korea, Japan, United States",2021-09-15,2015,TV-Y7,1 Season,"Action-Adventure, Animation, Fantasy",Superheroes Ladybug and Cat Noir protect the city.,1,Season,2021
s109,TV Show,Unknown Waters with Jeremy Wade,Unknown,Jeremy Wade,Unknown,2021-09-15,2021,TV-14,1 Season,"Animals & Nature, Docuseries","Angler and adventurer, Jeremy Wade, explores the greatest river system in the world.",1,Season,2021
s110,Movie,Far Away From Raven’s Home,Unknown,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",Unknown,2021-09-10,2021,TV-G,11 min,Comedy,Our gang is off for an exotic vacation of a lifetime!,11,min,2021
s111,Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin","United States, United Kingdom",2021-09-10,2011,PG-13,140 min,"Action-Adventure, Fantasy",A woman from his past uses Jack to help find the fabled Fountain of Youth.,140,min,2021
s112,Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",United States,2021-09-10,2021,PG,11 min,"Animation, Family","Adulting is hard. One day you're nailing it, the next you're a stack of kids hiding in a trenchcoat.",11,min,2021
s113,TV Show,"Doogie Kamealoha, M.D.",Unknown,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,2021-09-08,2021,TV-PG,1 Season,"Comedy, Coming of Age, Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.,1,Season,2021
