show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int,duration_type,year_added
s28,Movie,Obi-Wan Kenobi,Unknown,Unknown,Unknown,2021-11-12,2021,TV-PG,1 min,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",1,min,2021
s29,TV Show,Olaf Presents,Unknown,Josh Gad,Unknown,2021-11-12,2021,TV-PG,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,1,Season,2021
s30,Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,2021-11-12,2012,G,7 min,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,7,min,2021
s31,Movie,Pixar 2021 Disney+ Day Special,Unknown,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",Unknown,2021-11-12,2021,G,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,5,min,2021
s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia",2021-11-12,2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",134,min,2021
s33,Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",Unknown,2021-11-12,2021,TV-G,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!,94,min,2021
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,2021-11-12,2012,G,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,9,min,2021
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,Unknown,2021-11-12,2011,G,8 min,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.,8,min,2021
s36,Movie,The Little Matchgirl,Roger Allers,Unknown,United States,2021-11-12,2006,G,7 min,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,7,min,2021
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",Unknown,2021-11-12,2021,TV-PG,30 min,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",30,min,2021
